کالا,نوع ماشین,قیمت,توضیحات
سیلندر,نیسان,25000000,بلوک سیلندر بنیان دیزل با نامه هولوگرام دار قابل شماره گذاری قانونی
سرسیلندر,نیسان,22000000,
نیم موتور,نیسان,38000000,بلوک سیلندر بنیان دیزل با نامه هولوگرام دار + رینگ SM آلمان
موتور کامل,نیسان,70000000,بلوک سیلندر بنیان دیزل با نامه هولوگرام دار + رینگ SM آلمان
سیلندر,نیسان,23000000,بلوک سیلندر مانی‌بل یا مگا موتور با نامه هولوگرام دار
سرسیلندر,نیسان,22000000,
نیم موتور,نیسان,36000000,بلوک سیلندر مانی‌بل یا مگا موتور با نامه هولوگرام دار + رینگ SM آلمان
موتور کامل,نیسان,68000000,بلوک سیلندر مانی‌بل یا مگا موتور با نامه هولوگرام دار + رینگ SM آلمان
سیلندر,پژو 405,15000000,
سرسیلندر,پژو 405,11000000,
نیم موتور,پژو 405,36000000,
موتور کامل,پژو 405,48000000,
سیلندر,پژو 405,15000000,
سرسیلندر,پژو 405,15000000,
نیم موتور,پژو 405,39000000,
موتور کامل,پژو 405,52000000,
سیلندر,پژو 405,15000000,
سرسیلندر,پژو 405,15000000,
نیم موتور,پژو 405,45000000,
موتور کامل,پژو 405,60000000,
سیلندر,Ef7,15000000,
سرسیلندر,Ef7,25000000,
نیم موتور,Ef7,39000000,
موتور کامل,Ef7,67000000,
سیلندر,پژو 206 تیپ 2,16000000,
سرسیلندر,پژو 206 تیپ 2,12000000,
نیم موتور,پژو 206 تیپ 2,38000000,
موتور کامل,پژو 206 تیپ 2,50000000,
سیلندر,پژو 206 تیپ 5,0,
سرسیلندر,پژو 206 تیپ 5,0,
نیم موتور,پژو 206 تیپ 5,0,
موتور کامل,پژو 206 تیپ 5,70000000,
سیلندر,پراید یورو2,13000000,
سرسیلندر,پراید یورو2,9000000,
نیم موتور,پراید یورو2,26000000,
موتور کامل,پراید یورو2,38000000,
سیلندر,پراید یورو 4,13000000,
سرسیلندر,پراید یورو 4,12000000,
نیم موتور,پراید یورو 4,30000000,
موتور کامل,پراید یورو 4,42000000,
سیلندر,تیبا,13000000,
سرسیلندر,تیبا,12000000,
نیم موتور,تیبا,30000000,
موتور کامل,تیبا,42000000,
